30
604	0	0	59	51	45	0	0	0	38	56	0	37	0	37	59	32	31	0	0	30	0	0	44	0	35	0	0	30	0	90
57	558	0	34	44	36	55	0	0	30	0	52	0	0	57	0	33	0	0	0	41	0	0	49	0	57	0	0	0	0	52
40	56	858	57	0	43	34	55	30	49	39	0	47	45	0	38	38	47	39	52	0	0	32	48	0	0	0	0	0	48	57
52	30	0	740	43	0	35	0	53	48	38	36	38	51	0	0	58	0	0	0	0	30	30	59	43	0	0	32	0	42	98
0	40	49	0	447	0	0	0	46	0	0	0	38	0	31	0	37	41	56	0	46	49	0	0	0	0	0	0	0	0	57
0	32	38	0	0	773	51	35	38	50	0	55	31	0	38	0	54	0	0	33	0	47	38	46	0	37	0	46	37	49	103
59	58	0	38	0	0	625	43	39	0	0	0	0	43	0	0	0	53	0	0	58	35	0	34	0	0	0	41	56	49	82
31	58	0	0	32	0	53	996	43	37	33	54	39	33	39	0	58	0	44	51	47	42	43	58	53	42	0	45	0	46	79
49	33	32	0	30	54	43	53	824	0	58	0	0	50	0	0	40	38	0	0	41	37	32	59	31	53	41	0	0	35	87
0	0	0	0	47	32	42	49	54	805	0	30	56	47	0	40	32	54	34	32	53	39	0	42	0	0	0	57	0	44	65
0	33	59	0	0	47	0	32	55	39	788	57	0	32	0	0	0	57	50	44	0	46	0	45	36	0	32	53	0	57	16
0	0	0	0	38	0	39	53	0	0	44	812	0	32	53	0	55	52	0	46	47	53	57	0	57	45	31	58	37	0	76
37	39	0	0	0	46	0	55	0	0	0	0	694	0	0	51	0	58	49	52	36	39	34	52	30	36	35	0	0	32	43
0	0	0	37	32	0	51	32	0	51	0	55	0	948	43	40	47	49	0	51	35	37	52	52	34	53	37	49	41	49	40
0	51	36	51	0	0	48	41	0	0	0	58	0	34	790	58	56	0	0	0	41	0	30	59	31	40	47	38	0	52	63
0	0	0	47	32	35	0	0	0	45	46	0	46	55	47	624	0	37	58	30	42	0	47	0	0	43	0	0	0	0	71
33	0	57	48	49	0	48	52	0	52	47	0	0	50	0	33	724	0	0	40	46	0	0	32	0	38	0	52	30	0	88
59	44	51	0	59	0	51	56	52	0	31	0	0	0	0	0	0	682	39	34	48	0	0	45	53	0	0	0	40	0	67
0	0	40	0	0	0	0	49	0	0	0	42	57	43	0	50	39	0	583	0	0	52	32	53	0	37	0	0	34	32	12
0	0	40	54	36	44	0	0	39	0	0	45	43	50	30	46	31	0	59	781	45	0	47	0	45	0	50	0	59	0	45
46	0	46	40	56	46	0	0	49	40	41	38	35	59	31	39	0	54	39	0	810	0	0	0	49	43	0	38	0	0	13
35	50	0	0	0	0	49	0	0	46	0	0	0	0	0	57	0	40	0	33	0	606	0	33	0	56	50	34	55	53	43
0	47	0	0	32	0	33	42	0	37	0	0	0	47	0	0	42	0	49	52	46	0	549	0	0	34	0	33	0	40	75
0	42	0	47	0	38	35	30	53	0	58	0	0	58	30	0	0	0	0	0	0	0	38	575	30	48	0	57	0	0	73
36	0	47	0	0	33	0	0	0	44	0	45	36	0	45	30	41	0	0	59	0	57	0	44	628	47	0	0	45	0	95
0	33	0	0	40	0	0	59	47	35	0	52	0	47	0	0	47	0	54	44	51	35	46	30	44	714	0	0	0	31	89
48	0	0	56	0	0	0	0	0	36	34	52	51	0	49	0	0	32	0	0	41	0	52	0	47	0	545	33	0	0	30
46	32	57	38	0	0	34	54	40	0	0	0	0	36	0	0	50	48	0	0	48	49	0	46	0	38	0	626	0	0	70
0	47	0	31	0	0	38	44	0	0	49	38	39	34	35	0	0	0	49	0	0	43	0	45	35	46	0	53	642	0	58
0	0	40	38	40	57	44	0	33	0	32	45	0	54	44	0	49	0	55	0	0	0	35	51	30	0	44	48	0	759	60
